Symbol,LTP,% Change,High,Low,Open,Qty,Turnover
SNORL,343.5,15.0,343.5,298.7,298.7,70,22276.0
TPKHL,603.2,14.98,603.2,540.3,540.3,630,378489.0
YMHL,603.2,14.98,603.2,540.3,540.3,350,209593.0
NMBD89/90,1363.0,10.81,1363.0,1266.9,1266.9,27958,36695160.5
NIMBD90,1280.0,7.11,1290.4,1230.8,1230.8,31041,40054063.9
NBLD87,1130.0,4.91,1144.3,1109.4,1109.4,195244,223416001.2
CITY,407.9,4.51,413.8,387.0,391.0,287346,115458168.7
NMBD87/88,1135.0,4.49,1144.5,1118.7,1118.7,25405,29075755.0
JHAPA,1308.0,3.81,1326.0,1225.0,1250.0,13500,17500820.3
BGWT,598.9,3.26,614.7,563.0,597.0,4420,2597812.0
KMCDB,821.0,-10.76,892.4,820.6,892.4,2723,2275477.7
SAPDBL,814.0,-9.45,854.1,795.0,854.1,103495,83273665.7
HEIP,327.9,-4.93,350.0,327.9,344.0,2045,681455.0
NICD88,1085.1,-4.86,1106.3,1078.8,1106.3,60,65160.5
SOPL,927.0,-4.05,985.0,920.0,920.0,102340,96340296.8
MKHL,480.2,-3.77,490.0,480.2,485.0,3680,1780718.8
DLBS,1235.0,-3.3,1298.9,1211.1,1238.9,740,914021.0
HIMSTAR,750.0,-3.23,785.0,750.0,753.1,3483,2656110.5
UPCL,344.1,-3.07,355.9,344.0,350.0,37778,13106753.3
SMH,545.0,-3.02,560.0,545.0,554.0,5188,2872105.2
